"from","to","weightreal","Genes","PcorValues","CorValues","PcorAverage","CorAverage","PcorLink1edge","PcorLink1edge_pvalue","PcorLink2edge","PcorLink2edge_pvalue","type","weight","Vertex1_Class","Vertex2_Class"
"C14.1","C16.2.OH",1,"Ercc3","0.141853966607107","0.901482511655606",0.141853966607107,0.901482511655606,"0.860282301730981","0.0129800627327755","0.337915950080466","0.458519721722386","hyperlink",0.2,"ACC","ACC"
"C14.1","C18.1",2,"Tmem106a;Sptan1","-0.0195674903326947;-0.0558389099653749","0.843543776550501;0.843543776550501",-0.0377032001490348,0.843543776550501,"0.75550233611782;0.775907089191907","0.0495165127798986;0.0402987516406194","0.607140106608656;0.613545207534304","0.148233504098385;0.142828760030963","hyperlink",0.4,"ACC","ACC"
"C14.1","C18.1.OH",1,"Sptan1","0.286834792606415","0.924381415854467",0.286834792606415,0.924381415854467,"0.523278355975838","0.228105504850917","0.6258936947743","0.132694934624223","hyperlink",0.2,"ACC","ACC"
"C14.1","lysoPC.a.C17.0",1,"Cog7","-0.913735872243902","-0.791856298346854",-0.913735872243902,-0.791856298346854,"0.765164086092754","0.0450216834338124","0.765267221837245","0.0449749682109429","hyperlink",0.2,"ACC","LPC"
"C14.1","lysoPC.a.C20.3",1,"Acad11","-0.949580909402347","-0.77099349175854",-0.949580909402347,-0.77099349175854,"0.882714852590336","0.00848620920661716","0.883456026366875","0.00835622901138747","hyperlink",0.2,"ACC","LPC"
"C14.1.OH","C14.2",1,"Zfp330","0.0791097398221477","0.881311803771888",0.0791097398221477,0.881311803771888,"0.70116703052754","0.0791968410284795","0.60246023405819","0.152246222221424","hyperlink",0.2,"ACC","ACC"
"C14.1.OH","C16.1.OH",1,"Zfp330","0.44161597654581","0.937897856431561",0.44161597654581,0.937897856431561,"0.485758432343412","0.26909578194513","0.526111675902406","0.225138097816969","hyperlink",0.2,"ACC","ACC"
"C14.1.OH","C16.2",1,"Zfp617","0.21135330610179","0.911972459243595",0.21135330610179,0.911972459243595,"0.515422994515803","0.236427772438139","0.688938523484273","0.0869117912532933","hyperlink",0.2,"ACC","ACC"
"C14.1.OH","C16.OH",1,"Zfp330","0.256545862316164","0.926275727627174",0.256545862316164,0.926275727627174,"0.498593393346788","0.254723181174718","0.674447470545189","0.0965464282144415","hyperlink",0.2,"ACC","ACC"
"C14.2","C14.2.OH",3,"Tmem230;X3830406C13Rik;Zfp873","-0.457468400539064;-0.437957704645233;-0.395155298918555","0.709690317935524;0.709690317935524;0.709690317935524",-0.430193801367617,0.709690317935524,"0.817775653513607;0.800021249110075;0.805669376593283","0.0246150885325952;0.0307416495372971;0.0287097339284804","0.834566505412805;0.83791955883695;0.802088394222562","0.0195162378368854;0.0185776240205231;0.0299889687028662","hyperlink",0.6,"ACC","ACC"
"C14.2","C18.1",1,"Tmem106a","-0.256300579393352","0.868852737552528",-0.256300579393352,0.868852737552528,"0.933480779848276","0.00211430320331868","0.552737192412816","0.198154254825506","hyperlink",0.2,"ACC","ACC"
"C14.2","C18.1.OH",2,"Tmem106a;Vwce","0.143534661398308;0.270516203787912","0.92988628480742;0.92988628480742",0.20702543259311,0.92988628480742,"0.869364649539973;0.854962290155443","0.0110284644191613;0.0142085506213217","0.333255334710233;0.232304728202915","0.465133613492447;0.616181802264234","hyperlink",0.4,"ACC","ACC"
"C14.2.OH","C16",1,"X3830406C13Rik","-0.431205498734059","0.710568315276023",-0.431205498734059,0.710568315276023,"0.836175988246688","0.019062421388276","0.797115175037681","0.0318174677160828","hyperlink",0.2,"ACC","ACC"
"C14.2.OH","C16.1",1,"X3830406C13Rik","-0.233539481813313","0.795336080107317",-0.233539481813313,0.795336080107317,"0.727505807119815","0.0638727723496983","0.78534851630699","0.0363856102367537","hyperlink",0.2,"ACC","ACC"
"C14.2.OH","C16.1.OH",1,"X3830406C13Rik","-0.295234438067902","0.772466327726297",-0.295234438067902,0.772466327726297,"0.765450311819462","0.0448921035407522","0.786641885404016","0.0358667777256693","hyperlink",0.2,"ACC","ACC"
"C14.2.OH","C16.2",3,"Tmem230;Tmem28;X3830406C13Rik","-0.11415756256671;-0.0495900247266046;-0.26081395542932","0.849016385809449;0.849016385809449;0.849016385809449",-0.141520514240878,0.849016385809449,"0.571392818428233;0.634822880917668;0.623908401662599","0.180235536236787;0.12560316974727;0.13429866929739","0.847347568772755;0.755326197289417;0.894171494063488","0.0160783168999863;0.0496006368112993;0.00660516415010445","hyperlink",0.6,"ACC","ACC"
"C14.2.OH","C16.2.OH",2,"X3830406C13Rik;AA415398","-0.207530566968153;-0.296149633165084","0.812548423821272;0.812548423821272",-0.251840100066618,0.812548423821272,"0.696235718599337;0.846430339477479","0.0822622081402586;0.016312468958939","0.800336953932819;0.709905818024489","0.0306260210037401;0.0739167813446342","hyperlink",0.4,"ACC","ACC"
"C14.2.OH","C16.OH",1,"X3830406C13Rik","-0.180668333768275","0.788179690879047",-0.180668333768275,0.788179690879047,"0.729911579301487","0.0625610558457714","0.742191712657271","0.0560944320643551","hyperlink",0.2,"ACC","ACC"
"C14.2.OH","C18.2",2,"X3830406C13Rik;Zfp617","-0.458519196948779;-0.372691349273728","0.742669932739622;0.742669932739622",-0.415605273111254,0.742669932739622,"0.823292867075494;0.736479134559732","0.0228658677463772;0.0590550328210214","0.837066414909415;0.857265086355198","0.0188139535743465;0.0136689874228066","hyperlink",0.4,"ACC","ACC"
