"from","to","weightreal","Genes","PcorValues","CorValues","PcorAverage","CorAverage","PcorLink1edge","PcorLink1edge_pvalue","PcorLink2edge","PcorLink2edge_pvalue","type","weight","Vertex1_Class","Vertex2_Class"
"PC.aa.C40.1","PC.ae.C40.2",1,"Ddhd2","-0.265226102190604","0.776594652480777",-0.265226102190604,0.776594652480777,"0.773400436504745","0.0144937852707126","0.758068103870561","0.0179324576682129","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C40.1","PC.ae.C44.5",1,"Ddhd2","-0.117727582125822","0.837519093014082",-0.117727582125822,0.837519093014082,"0.658277872541533","0.0538981543528413","0.779169784912887","0.0133237399646401","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C40.2","PC.aa.C42.0",1,"Trappc13","0.170401680975035","0.8759877506476",0.170401680975035,0.8759877506476,"0.748102931407407","0.0204353946167015","0.461533156868537","0.21108904838079","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C40.2","PC.aa.C42.2",1,"Trappc13","-0.0441550611830177","0.839404299800582",-0.0441550611830177,0.839404299800582,"0.802203091540118","0.00928318445046507","0.56885225249744","0.109949885136171","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C40.2","PC.aa.C42.4",1,"X2410015M20Rik","0.641826947581356","0.824960885277177",0.641826947581356,0.824960885277177,"-0.309503273795619","0.417672494139265","-0.324055729042916","0.394914338377449","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C40.2","PC.aa.C42.5",1,"Trappc13","-0.294747870608362","0.762433988574432",-0.294747870608362,0.762433988574432,"0.877440143595576","0.0018786229694606","0.651966084033709","0.0570635593189259","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C40.2","PC.ae.C30.2",1,"Rab1b","0.611565298500476","0.842719053955248",0.611565298500476,0.842719053955248,"-0.352706204280972","0.35185375055011","-0.355648426643651","0.347566516847645","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C40.2","PC.ae.C40.2",1,"Trappc13","-0.482219454854251","0.779870665024321",-0.482219454854251,0.779870665024321,"0.890691723874648","0.00127568431261288","0.78698263255969","0.011842635082847","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C40.2","PC.ae.C42.4",1,"Trappc13","0.175173008542179","0.914828220837243",0.175173008542179,0.914828220837243,"0.610674029700488","0.0806749538495709","0.632246377270531","0.0677021756084431","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C40.2","PC.ae.C44.3",1,"Trappc13","0.352770560128174","0.919702148488927",0.352770560128174,0.919702148488927,"0.633028034946799","0.0672585578350762","0.448157747050037","0.226353247123014","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C40.2","PC.ae.C44.5",1,"Trappc13","-0.384146278908152","0.821027005319938",-0.384146278908152,0.821027005319938,"0.850908600249721","0.00363021223978638","0.773008144931031","0.0145757492848297","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.0","PC.aa.C42.2",1,"Ddhd2","0.54791986973996","0.957454412337367",0.54791986973996,0.957454412337367,"0.0754599492696453","0.847001840585181","0.772541637412886","0.0146736224643349","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.0","PC.ae.C30.0",1,"Nop16","0.442434254028703","0.936548267284557",0.442434254028703,0.936548267284557,"0.521177899466025","0.15019540469215","0.488919611500965","0.181669795923524","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.0","PC.ae.C30.1",1,"Nop16","0.316746506093783","0.93180376025495",0.316746506093783,0.93180376025495,"0.489932056386641","0.180629646379406","0.634711277955227","0.0663094617509351","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.0","PC.ae.C30.2",1,"Nop16","-0.105640624624156","0.908520580854247",-0.105640624624156,0.908520580854247,"0.60803868303485","0.0823574383787773","0.831941809295023","0.00541338423078771","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.0","PC.ae.C32.2",1,"Nop16","0.420154698323023","0.939740179404394",0.420154698323023,0.939740179404394,"0.464769201231244","0.207484114006242","0.568652833173215","0.110102817647078","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.0","PC.ae.C36.0",1,"Prkce","-0.057693337223172","0.786874179164237",-0.057693337223172,0.786874179164237,"0.677368888889749","0.0450114411897681","0.697524184965449","0.0367144095385511","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.0","PC.ae.C38.1",1,"Prkce","0.0314004627142928","0.837165491148813",0.0314004627142928,0.837165491148813,"0.556290075615876","0.119834759853191","0.758504328508404","0.017827812811645","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.0","PC.ae.C40.2",1,"Ddhd2","0.0432757905923154","0.855794681500826",0.0432757905923154,0.855794681500826,"0.747433128837594","0.0206114652700414","0.568090932399703","0.110534422867107","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.0","PC.ae.C42.4",1,"Ddhd2","0.322736444345731","0.909131208326956",0.322736444345731,0.909131208326956,"0.623651784326022","0.0727010696046822","0.481341329929496","0.189563026977022","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.0","PC.ae.C44.3",1,"Ddhd2","0.0539266219719793","0.882374653590982",0.0539266219719793,0.882374653590982,"0.68346083046618","0.0423884098691401","0.642934213194551","0.0617940334387061","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.0","PC.ae.C44.5",1,"Ddhd2","0.0297324859522803","0.884885492167099",0.0297324859522803,0.884885492167099,"0.674623716413123","0.0462266732189664","0.672504823597785","0.0471789000349401","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.0","PC.ae.C44.6",1,"Nop16","-0.0660994888448381","0.813432516634273",-0.0660994888448381,0.813432516634273,"0.82006851987061","0.00679032570748357","0.553395713666995","0.122184841036296","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.2","PC.aa.C42.5",1,"Trappc13","-0.544575222601242","0.642322401191508",-0.544575222601242,0.642322401191508,"0.871928296498009","0.00217906768804935","0.827228128592982","0.00593467221273318","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.2","PC.ae.C30.0",1,"Nop16","0.233844360554702","0.898829083678906",0.233844360554702,0.898829083678906,"0.526264623445584","0.145546126738255","0.654136586475279","0.0559620955971801","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.2","PC.ae.C30.1",1,"Nop16","0.310012274808432","0.917449760645467",0.310012274808432,0.917449760645467,"0.401146279816112","0.284597017436068","0.707577570896702","0.0329762384800085","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.2","PC.ae.C30.2",2,"Igflr1;Nop16","0.54590253979703;-0.0899470233307389","0.89012189335478;0.89012189335478",0.227977758233146,0.89012189335478,"-0.46194340807306;0.546095336525455","0.21063012757497;0.128233701114475","-0.391108969322451;0.860453893007313","0.297942011764267;0.00290809726820884","hyperlink",0.333333333333333,"PC","PC"
"PC.aa.C42.2","PC.ae.C32.2",1,"Nop16","0.194362223912558","0.901229902066836",0.194362223912558,0.901229902066836,"0.49707707822829","0.173385475685445","0.712639404590025","0.031191825093609","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.2","PC.ae.C38.1",1,"Prkce","-0.105575908982453","0.805446880206841",-0.105575908982453,0.805446880206841,"0.608884261562482","0.0818152539496907","0.801247967910246","0.00943159995871419","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.2","PC.ae.C40.2",1,"Ddhd2","-0.378207507098943","0.847386971951605",-0.378207507098943,0.847386971951605,"0.924205118775942","0.000366295523942545","0.669365620103554","0.0486125874221077","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.2","PC.ae.C42.2",1,"Ddhd2","-0.601531614605909","0.688185854917467",-0.601531614605909,0.688185854917467,"0.970479615286476","1.41394750570279e-05","0.735672610554772","0.0238683440759069","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.2","PC.ae.C42.4",1,"Ddhd2","0.0246439867087406","0.902289276169304",0.0246439867087406,0.902289276169304,"0.861401698431024","0.0028423047775274","0.447247223676568","0.227413604345739","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.2","PC.ae.C44.3",1,"Ddhd2","0.160601547125276","0.92264209637219",0.160601547125276,0.92264209637219,"0.828076847959954","0.005838390910424","0.383048669192478","0.308885164986618","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.2","PC.ae.C44.4",1,"Ddhd2","0.305318495748528","0.911315919089052",0.305318495748528,0.911315919089052,"0.862155727043666","0.00279070154088147","0.17329571197278","0.655681020728698","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.2","PC.ae.C44.5",1,"Ddhd2","-0.670248027461762","0.865209484991441",-0.670248027461762,0.865209484991441,"0.945983951545321","0.000114376336063007","0.859891240726593","0.00294764622804777","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.4","PC.ae.C30.0",1,"Klhl20","-0.178288593787025","0.785758888315262",-0.178288593787025,0.785758888315262,"0.712462281967335","0.0312531752154843","0.756430953576514","0.0183288307642722","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.4","PC.ae.C30.1",1,"Fam49a","-0.222713875638371","0.786839907685621",-0.222713875638371,0.786839907685621,"0.859531736921962","0.00297310885040901","0.624514925588498","0.0721889613700721","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.4","PC.ae.C30.2",1,"Nop16","-0.416794890221479","0.776177645463572",-0.416794890221479,0.776177645463572,"0.65246686800065","0.0568082183826023","0.941817057231829","0.000147739220715178","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.4","PC.ae.C34.3",1,"Fam49a","-0.313261656357359","0.757779715610946",-0.313261656357359,0.757779715610946,"0.882193015386581","0.00164367579563202","0.659236949309009","0.0534271781925708","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.4","PC.ae.C44.5",1,"Ddhd2","-0.6388136665121","0.673956914334582",-0.6388136665121,0.673956914334582,"0.82939411401104","0.00569107416262067","0.933270096444204","0.000236669007088616","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.5","PC.ae.C34.0",1,"Sdf2","-0.407611789847273","0.677534623963213",-0.407611789847273,0.677534623963213,"0.806110102212064","0.00869250726616039","0.802448807943009","0.0092452597805596","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.5","PC.ae.C42.4",1,"Trappc13","-0.267068930747504","0.770056868481773",-0.267068930747504,0.770056868481773,"0.631257231684894","0.0682661732491738","0.877245270541936","0.00188872420190608","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.5","PC.ae.C44.3",1,"Trappc13","-0.750053716113424","0.651012202386082",-0.750053716113424,0.651012202386082,"0.89435049889897","0.0011365803326437","0.945085760284448","0.000121064545359731","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.5","PC.ae.C44.4",1,"Trappc13","-0.463483419789038","0.669479635665338",-0.463483419789038,0.669479635665338,"0.790487160081164","0.0112158689449672","0.855188264692367","0.00329282006700446","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C42.5","SM.C20.2",1,"Setd8","-0.528438517927988","0.653984582852058",-0.528438517927988,0.653984582852058,"0.792355307520961","0.0108910703181289","0.89326772325834","0.00117658705584783","hyperlink",0.166666666666667,"PC","SM"
"PC.ae.C30.0","PC.ae.C30.1",1,"Nop16","0.199707023380576","0.918168338353966",0.199707023380576,0.918168338353966,"0.537455180747339","0.135617894245867","0.682018301483233","0.0430003899278836","hyperlink",0.166666666666667,"PC","PC"
"PC.ae.C30.0","PC.ae.C32.2",1,"Nop16","0.606531418808269","0.957881949150628",0.606531418808269,0.957881949150628,"0.329818883932208","0.386064139193517","0.513571584984332","0.157306922662925","hyperlink",0.166666666666667,"PC","PC"
"PC.ae.C30.0","PC.ae.C36.0",1,"Prkce","-0.52046715047482","0.677719209503072",-0.52046715047482,0.677719209503072,"0.832254431388062","0.00537996005927816","0.857577216443296","0.00311419725639101","hyperlink",0.166666666666667,"PC","PC"
"PC.ae.C30.0","PC.ae.C38.1",1,"Prkce","-0.395423425377231","0.753587895572505",-0.395423425377231,0.753587895572505,"0.744981249876132","0.0212645510769984","0.867017233773197","0.00247339492268134","hyperlink",0.166666666666667,"PC","PC"
"PC.ae.C30.1","PC.ae.C30.2",1,"Nop16","0.399071231557208","0.956466173698082",0.399071231557208,0.956466173698082,"0.36994831111245","0.32709631041135","0.680754387575632","0.0435412411044167","hyperlink",0.166666666666667,"PC","PC"
"PC.ae.C30.1","PC.ae.C32.2",1,"Nop16","0.47634818386649","0.951900110029907",0.47634818386649,0.951900110029907,"0.529128387504037","0.142966165934377","0.457303311102817","0.215852887978029","hyperlink",0.166666666666667,"PC","PC"
"PC.ae.C30.1","PC.ae.C44.3",1,"Rab1b","0.63412104042951","0.828956591192699",0.63412104042951,0.828956591192699,"-0.324112308992709","0.394826998353732","-0.328660784359615","0.387835073469532","hyperlink",0.166666666666667,"PC","PC"
"PC.ae.C30.1","PC.ae.C44.4",1,"Nop16","0.058235220750681","0.859450582904776",0.058235220750681,0.859450582904776,"0.816426560207251","0.00725614442815742","0.466388730428235","0.20569288650755","hyperlink",0.166666666666667,"PC","PC"
"PC.ae.C30.1","PC.ae.C44.5",1,"Ddhd2","-0.299619909516153","0.755732680084916",-0.299619909516153,0.755732680084916,"0.671844235116546","0.0474783139274126","0.86460219928756","0.00262772170913955","hyperlink",0.166666666666667,"PC","PC"
"PC.ae.C30.2","PC.ae.C32.1",1,"Nop16","0.265583736346158","0.924578450124389",0.265583736346158,0.924578450124389,"0.807421297330665","0.00850012518827058","0.312760163744734","0.412528638820635","hyperlink",0.166666666666667,"PC","PC"
"PC.ae.C30.2","PC.ae.C32.2",1,"Nop16","0.659666330859902","0.972227737825547",0.659666330859902,0.972227737825547,"0.662901901115664","0.0516515682470629","0.0976982981063979","0.802546974840257","hyperlink",0.166666666666667,"PC","PC"
"PC.ae.C30.2","SM.C16.1",2,"Echdc3;Nop16","0.647580537411295;-0.176138473000605","0.821174986257253;0.821174986257253",0.235721032205345,0.821174986257253,"-0.308844523742469;0.915569293985282","0.418716411031419;0.000529772851458036","-0.30863430836886;0.503931825856556","0.419049785251895;0.166594317265066","hyperlink",0.333333333333333,"PC","SM"
"PC.ae.C32.1","PC.ae.C36.0",1,"Prkce","-0.134713263617693","0.791273945621068",-0.134713263617693,0.791273945621068,"0.741132807929787","0.0223169828717009","0.696261930852013","0.0372022786247209","hyperlink",0.166666666666667,"PC","PC"
"PC.ae.C32.1","PC.ae.C38.1",1,"Prkce","0.139786927917761","0.870960719369888",0.139786927917761,0.870960719369888,"0.550437249631506","0.124615169879693","0.695385490476147","0.0375434855792004","hyperlink",0.166666666666667,"PC","PC"
"PC.ae.C32.1","PC.ae.C44.5",1,"Ddhd2","0.0495866969241302","0.861491608431062",0.0495866969241302,0.861491608431062,"0.580326883936747","0.101365363063353","0.73469751812929","0.0241526572927601","hyperlink",0.166666666666667,"PC","PC"
"PC.ae.C32.2","PC.ae.C36.0",1,"Prkce","-0.3283674408318","0.727502104585105",-0.3283674408318,0.727502104585105,"0.770857581077252","0.015030591663607","0.792567206044903","0.0108546343363056","hyperlink",0.166666666666667,"PC","PC"
"PC.ae.C32.2","PC.ae.C42.4",1,"Dpt","0.53034517210688","0.899695680960542",0.53034517210688,0.899695680960542,"-0.401082243433258","0.284681157086916","-0.480169148612213","0.190800863758283","hyperlink",0.166666666666667,"PC","PC"
"PC.ae.C32.2","PC.ae.C44.3",1,"Arsk","0.556641424975717","0.881793240304559",0.556641424975717,0.881793240304559,"-0.461680877213673","0.210923739783674","-0.368986880136257","0.328453361159713","hyperlink",0.166666666666667,"PC","PC"
"PC.ae.C34.1","PC.ae.C38.3",1,"Gramd3","-0.230400394381412","0.739505036535382",-0.230400394381412,0.739505036535382,"0.766543071768328","0.0159715023986551","0.726378255712114","0.0266694338405174","hyperlink",0.166666666666667,"PC","PC"
